tweet,clause,topic,sentiment,sentiment_score
"que en @marcsarrats és un flipat és un fet. però poster tu també ho ets una mica o tots ho vam ser en algun moment. si vols descobrir-ho, no et perdis el seu show ‘alta flipamenta’, el primer especial de comèdia en català de la plataforma @som3cat!",que,pregunta,neutral,0.389
"que en @marcsarrats és un flipat és un fet. però poster tu també ho ets una mica o tots ho vam ser en algun moment. si vols descobrir-ho, no et perdis el seu show ‘alta flipamenta’, el primer especial de comèdia en català de la plataforma @som3cat!",en @marcsarrats és un flipat és un fet . però poster tu també ho ets una mica o,unknown,positive,0.399
"que en @marcsarrats és un flipat és un fet. però poster tu també ho ets una mica o tots ho vam ser en algun moment. si vols descobrir-ho, no et perdis el seu show ‘alta flipamenta’, el primer especial de comèdia en català de la plataforma @som3cat!",tots ho vam ser en algun moment . si,pregunta,neutral,0.501
"que en @marcsarrats és un flipat és un fet. però poster tu també ho ets una mica o tots ho vam ser en algun moment. si vols descobrir-ho, no et perdis el seu show ‘alta flipamenta’, el primer especial de comèdia en català de la plataforma @som3cat!","vols descobrir-ho , no et perdis el seu show ‘ alta flipamenta ’ , el primer especial de comèdia en català de la plataforma @som3cat !",unknown,positive,0.567
@cruillabcn @jordigraupera @marcsarrats @som3cat meh. mediocre.,@cruillabcn @jordigraupera @marcsarrats @som3cat meh . mediocre .,unknown,negative,0.838
@cruillabcn @marcsarrats @som3cat puffff,@cruillabcn @marcsarrats @som3cat puffff,sonido,negative,0.745
"@cruillabcn @marcsarrats @som3cat passo, gràcies. a veure quan feu res de qualitat.","@cruillabcn @marcsarrats @som3cat passo , gràcies . a veure quan feu res de qualitat .",experiencia,positive,0.542
@cruillabcn @marcsarrats @som3cat ni puta gràcia.,@cruillabcn @marcsarrats @som3cat ni,sonido,neutral,0.512
@cruillabcn @marcsarrats @som3cat ni puta gràcia.,puta gràcia .,unknown,negative,0.924
"@cruillabcn @marcsarrats @som3cat un flipat, un mediocre… i un bully.","@cruillabcn @marcsarrats @som3cat un flipat , un mediocre … i",sonido,negative,0.938
"@cruillabcn @marcsarrats @som3cat un flipat, un mediocre… i un bully.",un bully .,unknown,negative,0.898
"@renfe tren oficial del festival cruïlla del 10 al 13 de juliol, al parc del fòrum de barcelona les estacions de rodalies de sant adrià del besòs i el clot són les més properes al recinte més informació a:","@renfe tren oficial del festival cruïlla del 10 al 13 de juliol , al parc del fòrum de barcelona les estacions de rodalies de sant adrià del besòs i",transporte,neutral,0.783
"@renfe tren oficial del festival cruïlla del 10 al 13 de juliol, al parc del fòrum de barcelona les estacions de rodalies de sant adrià del besòs i el clot són les més properes al recinte més informació a:",el clot són les més properes al recinte més informació a,unknown,neutral,0.54
"@renfe tren oficial del festival cruïlla del 10 al 13 de juliol, al parc del fòrum de barcelona les estacions de rodalies de sant adrià del besòs i el clot són les més properes al recinte més informació a:",:,unknown,neutral,0.425
"@rodalies @renfe bon dia, podeu compartir el horari dels autobusos que van de fabra i puig cap a montcada-ripollet com part de la r3? gràcies!","@rodalies @renfe bon dia , podeu compartir el horari dels autobusos que van de fabra i",pregunta,neutral,0.789
"@rodalies @renfe bon dia, podeu compartir el horari dels autobusos que van de fabra i puig cap a montcada-ripollet com part de la r3? gràcies!",puig cap a montcada-ripollet com part de la r3 ? gràcies !,transporte,neutral,0.6
@rodalies @renfe per què no passen trens direcció barna?,@rodalies @renfe per què no passen trens direcció barna ?,pregunta,negative,0.543
@rodalies @renfe r2 (sortida 10:59 a gràcia) direcció sant vicenç de calders té incidència?,@rodalies @renfe r2 ( sortida 10:59 a gràcia ) direcció sant vicenç de calders té incidència ?,transporte,neutral,0.715
@rodalies @renfe pot ser que encara no hagi rebut els 10€ del abonament del gener abril? com ho puc reclamar?,@rodalies @renfe pot ser que,pregunta,neutral,0.74
@rodalies @renfe pot ser que encara no hagi rebut els 10€ del abonament del gener abril? com ho puc reclamar?,encara no hagi rebut els 10 € del abonament del gener abril ? com ho puc reclamar ?,pregunta,negative,0.527
@rodalies @renfe si no voleu arribar tard millor aneu a peu.,@rodalies @renfe si,unknown,neutral,0.554
@rodalies @renfe si no voleu arribar tard millor aneu a peu.,no voleu arribar tard millor aneu a peu .,transporte,negative,0.625
"@rodalies @renfe uiiiii síiii, unes estacions molt properes al festival. i per tornar-ne com t’ho fas a aquella hora?","@rodalies @renfe uiiiii síiii , unes estacions molt properes al festival . i",transporte,positive,0.656
"@rodalies @renfe uiiiii síiii, unes estacions molt properes al festival. i per tornar-ne com t’ho fas a aquella hora?",per tornar-ne com t’ho fas a aquella hora ?,organización,neutral,0.609
fell for the domino dancing! els llegendaris @petshopboys van convertir el festival cruïlla en la disco dels nostres somnis algú més que encara no hagi superat aquest concertàs?,fell for the domino dancing ! els llegendaris @petshopboys van convertir el festival cruïlla en la disco dels nostres somnis algú més que encara no hagi superat aquest concertàs ?,precios,negative,0.383
@cruillabcn @petshopboys @estrelladammcat one week later @cruillabcn and @petshopboys are always on my mind!,@cruillabcn @petshopboys @estrelladammcat one week later @cruillabcn and @petshopboys are always on my mind !,unknown,positive,0.518
"@cruillabcn @petshopboys @estrelladammcat encara l'estic païnt! és més, voldria repetir-lo!","@cruillabcn @petshopboys @estrelladammcat encara l'estic païnt ! és més , voldria repetir-lo !",unknown,positive,0.37
@cruillabcn @petshopboys @estrelladammcat,@cruillabcn @petshopboys @estrelladammcat,unknown,neutral,0.585
"@cruillabcn @petshopboys @estrelladammcat una llàstima que els hi faltes 1000watts mes de potencia …..gran grup, gran concert però poca “chicha”…..",@cruillabcn @petshopboys @estrelladammcat una llàstima que,unknown,negative,0.953
"@cruillabcn @petshopboys @estrelladammcat una llàstima que els hi faltes 1000watts mes de potencia …..gran grup, gran concert però poca “chicha”…..","els hi faltes 1000watts mes de potencia … .. gran grup , gran concert però poca “ chicha ” … ..",sonido,positive,0.388
"""el sonero del mundo"" oscar d'león recibió su cumpleaños 81 cantando en el festival de cruïlla en barcelona, españa",""" el sonero del mundo "" oscar d'león recibió su cumpleaños 81 cantando en el festival de cruïlla en barcelona , españa",sonido,neutral,0.507
@discosdesalsa inacabable!!!,@discosdesalsa inacabable ! ! !,sonido,negative,0.526
@discosdesalsa 81? alli se ve es 18,@discosdesalsa 81 ? alli se ve es 18,unknown,neutral,0.807
@discosdesalsa que roble mi óscar d'león,@discosdesalsa que,pregunta,neutral,0.52
@discosdesalsa que roble mi óscar d'león,roble mi óscar d'león,unknown,positive,0.473
@discosdesalsa el claro ejemplo que la edad es solo números,@discosdesalsa el claro ejemplo que,sonido,neutral,0.511
@discosdesalsa el claro ejemplo que la edad es solo números,la edad es,unknown,neutral,0.711
@discosdesalsa el claro ejemplo que la edad es solo números,solo números,unknown,neutral,0.769
@discosdesalsa con 30 años menos y no tengo su vitalidad.,@discosdesalsa con 30 años menos y,unknown,neutral,0.708
@discosdesalsa con 30 años menos y no tengo su vitalidad.,no tengo su vitalidad .,unknown,negative,0.633
@discosdesalsa grande óscar,@discosdesalsa grande óscar,unknown,positive,0.848
from 6am in the morning waiting to see @avrillavigne perform today in barcelona at the cruilla festival!,from 6 am in the morning waiting to see @avrillavigne perform today in barcelona at the cruilla festival !,unknown,positive,0.576
@iavrilspain_ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss______ @itssangokghost the holy avril poster lmao,@iavrilspain _ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss _ _ _ _ _ _ @itssangokghost the holy avril poster lmao,unknown,neutral,0.44
@iavrilspain_ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss______ @itssangokghost a qué hora empezó a llegar la gente?,@iavrilspain _ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss _ _ _ _ _ _ @itssangokghost a qué hora empezó a,unknown,neutral,0.554
@iavrilspain_ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss______ @itssangokghost a qué hora empezó a llegar la gente?,llegar la gente ?,unknown,neutral,0.806
"@iavrilspain_ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss______ @itssangokghost amazing enjoy the show!!! portugal is just around the corner, she could just pop up haha","@iavrilspain _ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss _ _ _ _ _ _ @itssangokghost amazing enjoy the show ! ! ! portugal is just around the corner , she could just pop up haha",unknown,positive,0.575
@iavrilspain_ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss______ @itssangokghost,@iavrilspain _ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss _ _ _ _ _ _ @itssangokghost,unknown,neutral,0.442
"new photo of @avrillavigne in the video of ""young &amp; dumb""","new photo of @avrillavigne in the video of "" young & amp ; dumb """,unknown,neutral,0.587
"hey, hey you, you quant portaves esperant a veure @avrillavigne? el somni de molts s'ha fet realitat al cruïlla 2024, serà difícil oblidar aquesta nit","hey , hey you , you quant portaves esperant a veure @avrillavigne ? el somni de molts s'ha fet realitat al cruïlla 2024 , serà difícil oblidar aquesta nit",experiencia,negative,0.482
@cruillabcn @avrillavigne va ser una passada!,@cruillabcn @avrillavigne va ser una passada !,precios,positive,0.571
"@cruillabcn @avrillavigne 2 dies el dimecres la vaig anar a veure a nîmes. després ahir a la nit, a la meva ciutat, bcn i avui a madrid la primera vegada va ser al palau sant jordi, el 27/05/2005. després el 17/09/2011 la vaig veure a paris i l'any passat la vaig veure un altre cop a paris.","@cruillabcn @avrillavigne 2 dies el dimecres la vaig anar a veure a nîmes . després ahir a la nit , a la meva ciutat , bcn i",unknown,neutral,0.643
"@cruillabcn @avrillavigne 2 dies el dimecres la vaig anar a veure a nîmes. després ahir a la nit, a la meva ciutat, bcn i avui a madrid la primera vegada va ser al palau sant jordi, el 27/05/2005. després el 17/09/2011 la vaig veure a paris i l'any passat la vaig veure un altre cop a paris.","avui a madrid la primera vegada va ser al palau sant jordi , el 27/05/2005 . després el 17/09/2011 la vaig veure a paris i",experiencia,neutral,0.718
"@cruillabcn @avrillavigne 2 dies el dimecres la vaig anar a veure a nîmes. després ahir a la nit, a la meva ciutat, bcn i avui a madrid la primera vegada va ser al palau sant jordi, el 27/05/2005. després el 17/09/2011 la vaig veure a paris i l'any passat la vaig veure un altre cop a paris.",l'any passat la vaig veure un altre cop a paris .,experiencia,neutral,0.667
"@cruillabcn @avrillavigne una pasada, me quité la espinita clavada en 2020","@cruillabcn @avrillavigne una pasada , me quité la espinita clavada en 2020",unknown,positive,0.792
"@cruillabcn @avrillavigne sempre podré dir, hi vaig ser","@cruillabcn @avrillavigne sempre podré dir , hi vaig ser",unknown,neutral,0.481
"@cruillabcn @avrillavigne sí, serà difícil oblidar un del pitjors concerts del cruïlla, anys esperant per veura-la i ni te veu ( esperable ) ni es va moure gens, ni un trist saltet, i encare no te els 40... no va acabar que ja estava la meitat del públic esperant amaral.","@cruillabcn @avrillavigne sí , serà difícil oblidar un del pitjors concerts del cruïlla , anys esperant per veura-la i",experiencia,positive,0.511
"@cruillabcn @avrillavigne sí, serà difícil oblidar un del pitjors concerts del cruïlla, anys esperant per veura-la i ni te veu ( esperable ) ni es va moure gens, ni un trist saltet, i encare no te els 40... no va acabar que ja estava la meitat del públic esperant amaral.",ni,unknown,neutral,0.385
"@cruillabcn @avrillavigne sí, serà difícil oblidar un del pitjors concerts del cruïlla, anys esperant per veura-la i ni te veu ( esperable ) ni es va moure gens, ni un trist saltet, i encare no te els 40... no va acabar que ja estava la meitat del públic esperant amaral.",te veu ( esperable ) ni,unknown,negative,0.504
"@cruillabcn @avrillavigne sí, serà difícil oblidar un del pitjors concerts del cruïlla, anys esperant per veura-la i ni te veu ( esperable ) ni es va moure gens, ni un trist saltet, i encare no te els 40... no va acabar que ja estava la meitat del públic esperant amaral.","es va moure gens , ni",sonido,negative,0.774
"@cruillabcn @avrillavigne sí, serà difícil oblidar un del pitjors concerts del cruïlla, anys esperant per veura-la i ni te veu ( esperable ) ni es va moure gens, ni un trist saltet, i encare no te els 40... no va acabar que ja estava la meitat del públic esperant amaral.","un trist saltet , i",sonido,negative,0.943
"@cruillabcn @avrillavigne sí, serà difícil oblidar un del pitjors concerts del cruïlla, anys esperant per veura-la i ni te veu ( esperable ) ni es va moure gens, ni un trist saltet, i encare no te els 40... no va acabar que ja estava la meitat del públic esperant amaral.",encare no te els 40 ... no va acabar que,unknown,negative,0.852
"@cruillabcn @avrillavigne sí, serà difícil oblidar un del pitjors concerts del cruïlla, anys esperant per veura-la i ni te veu ( esperable ) ni es va moure gens, ni un trist saltet, i encare no te els 40... no va acabar que ja estava la meitat del públic esperant amaral.",ja estava la meitat del públic esperant amaral .,comida,negative,0.562
bueno ya me voy a soundcheck 6h15 en el escenario johnnie walker del cruilla festival de maracay pal mundo besos,bueno ya me voy a soundcheck 6h15 en el escenario johnnie walker del cruilla festival de maracay pa l mundo besos,sonido,neutral,0.662
@yadamandres,@yadamandres,unknown,neutral,0.412
@yadamandres oh wooooow,@yadamandres oh wooooow,sonido,positive,0.686
el festival cruïlla 2024 aposta per la sostenibilitat i cobrarà per plats i envasos retornables,el festival cruïlla 2024 aposta per la sostenibilitat i,unknown,neutral,0.468
el festival cruïlla 2024 aposta per la sostenibilitat i cobrarà per plats i envasos retornables,cobrarà per plats i,comida,neutral,0.564
el festival cruïlla 2024 aposta per la sostenibilitat i cobrarà per plats i envasos retornables,envasos retornables,unknown,negative,0.657
"@btvnoticies el més sostenible seria portar-te de casa el menjar i la beguda, però és clar, amb això no et poden estafar. au, a la via.",@btvnoticies el més sostenible seria portar-te de casa el menjar i,comida,neutral,0.632
"@btvnoticies el més sostenible seria portar-te de casa el menjar i la beguda, però és clar, amb això no et poden estafar. au, a la via.","la beguda , però és clar , amb això no et poden estafar . au , a la via .",bebidas,negative,0.528
"@btvnoticies uiiii síii súper sostenible, com blanquegeu el que us interessa","@btvnoticies uiiii síii súper sostenible , com blanquegeu el que us interessa",pregunta,positive,0.629
"@btvnoticies a tocar els collons als veïns, amb la música a tota hòstia i la gent borratxa i drogada sortint pels carrers, però la fòrmula1 patates.",@btvnoticies a,información,neutral,0.629
"@btvnoticies a tocar els collons als veïns, amb la música a tota hòstia i la gent borratxa i drogada sortint pels carrers, però la fòrmula1 patates.","tocar els collons als veïns , amb la música a tota hòstia i",sonido,neutral,0.402
"@btvnoticies a tocar els collons als veïns, amb la música a tota hòstia i la gent borratxa i drogada sortint pels carrers, però la fòrmula1 patates.",la gent borratxa i,unknown,negative,0.891
"@btvnoticies a tocar els collons als veïns, amb la música a tota hòstia i la gent borratxa i drogada sortint pels carrers, però la fòrmula1 patates.","drogada sortint pels carrers , però la fòrmula1 patates .",unknown,negative,0.546
"el pròxim 26 d'octubre no et perdis @official_artms un dels grups de k-pop del moment, a @razzmatazzclubs dins d'una nova edició del cruïlla tardor! aconsegueix la teva entrada a partir d’aquest dijous 20 de juny!","el pròxim 26 d'octubre no et perdis @official_artms un dels grups de k-pop del moment , a @razzmatazzclubs dins d'una nova edició del cruïlla tardor ! aconsegueix la teva entrada a partir d’aquest dijous 20 de juny !",unknown,neutral,0.736
@cruillabcn cuando anunciáis los precios?,@cruillabcn cuando,unknown,neutral,0.795
