tweet,clause,topic,sentiment,sentiment_score
@cruillabcn cuando anunciáis los precios?,anunciáis los precios ?,información,neutral,0.859
@cruillabcn @official_artms @razzmatazzclubs a partir de que hora abre la venta de tickets?,@cruillabcn @official_artms @razzmatazzclubs a,unknown,neutral,0.664
@cruillabcn @official_artms @razzmatazzclubs a partir de que hora abre la venta de tickets?,partir de que,unknown,neutral,0.61
@cruillabcn @official_artms @razzmatazzclubs a partir de que hora abre la venta de tickets?,hora abre la venta de tickets ?,unknown,neutral,0.868
@cruillabcn @official_artms @razzmatazzclubs las entradas se pueden comprar con el bono cultural?,@cruillabcn @official_artms @razzmatazzclubs las entradas se pueden comprar con el bono cultural ?,unknown,neutral,0.883
@cruillabcn @official_artms @razzmatazzclubs teniu preus?,@cruillabcn @official_artms @razzmatazzclubs teniu preus ?,precios,neutral,0.743
@cruillabcn @official_artms @razzmatazzclubs podeu anunciar els preus?,@cruillabcn @official_artms @razzmatazzclubs podeu anunciar els preus ?,unknown,neutral,0.794
@cruillabcn @official_artms @razzmatazzclubs creuem els dits! necessito aquestes entrades,@cruillabcn @official_artms @razzmatazzclubs creuem els dits ! necessito aquestes entrades,unknown,neutral,0.466
@cruillabcn @official_artms @razzmatazzclubs porque hay tres zonas en la venta de entradas?,@cruillabcn @official_artms @razzmatazzclubs porque,pregunta,neutral,0.638
@cruillabcn @official_artms @razzmatazzclubs porque hay tres zonas en la venta de entradas?,hay tres zonas en la venta de entradas ?,unknown,neutral,0.885
aquests són els horaris i escenaris dels quatre dies del festival cruïlla 2024! escenari @estrelladammcat escenari @occidentseguros escenari @vueling escenari @vallformosa escenari @johnniewalker ja tens la teva entrada o abonament?,aquests són els horaris i,información,neutral,0.808
aquests són els horaris i escenaris dels quatre dies del festival cruïlla 2024! escenari @estrelladammcat escenari @occidentseguros escenari @vueling escenari @vallformosa escenari @johnniewalker ja tens la teva entrada o abonament?,escenaris dels quatre dies del festival cruïlla 2024 ! escenari @estrelladammcat escenari @occidentseguros escenari @vueling escenari @vallformosa escenari @johnniewalker ja tens la teva entrada o,unknown,neutral,0.799
aquests són els horaris i escenaris dels quatre dies del festival cruïlla 2024! escenari @estrelladammcat escenari @occidentseguros escenari @vueling escenari @vallformosa escenari @johnniewalker ja tens la teva entrada o abonament?,abonament ?,unknown,neutral,0.48
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es us han reportat que hi ha un error i que no es pot carregar el compte des del web?,@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es us han reportat que,información,neutral,0.681
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es us han reportat que hi ha un error i que no es pot carregar el compte des del web?,hi ha un error i,unknown,negative,0.822
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es us han reportat que hi ha un error i que no es pot carregar el compte des del web?,que,pregunta,neutral,0.389
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es us han reportat que hi ha un error i que no es pot carregar el compte des del web?,no es pot,unknown,negative,0.724
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es us han reportat que hi ha un error i que no es pot carregar el compte des del web?,carregar el compte des del web ?,precios,neutral,0.687
@cruillabcn mil gràcies!!! podré disfrutar del concert de l'@avrillavigne i després veure a @amaraloficial,@cruillabcn mil gràcies ! ! ! podré disfrutar del concert de l'@avrillavigne i,unknown,positive,0.864
@cruillabcn mil gràcies!!! podré disfrutar del concert de l'@avrillavigne i després veure a @amaraloficial,després veure a @amaraloficial,unknown,neutral,0.666
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es smashing i aurora alhora m'ha fet molt de mal!,@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es smashing i,precios,positive,0.533
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es smashing i aurora alhora m'ha fet molt de mal!,aurora alhora m'ha fet molt de mal !,sonido,negative,0.958
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es como me ponen a trueno y a funzo &amp; baby loud en el mismo horario?,@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es como,unknown,neutral,0.725
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es como me ponen a trueno y a funzo &amp; baby loud en el mismo horario?,me ponen a trueno y,personal,negative,0.861
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es como me ponen a trueno y a funzo &amp; baby loud en el mismo horario?,a funzo & amp ; baby loud en el mismo horario ?,sonido,neutral,0.739
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es plazuela i ladilla solapats!!,@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es plazuela i,unknown,neutral,0.694
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es plazuela i ladilla solapats!!,ladilla solapats ! !,sonido,negative,0.924
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es venc entrada per divendres i dissabte a preu de compra!,@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es venc entrada per divendres i,unknown,neutral,0.768
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es venc entrada per divendres i dissabte a preu de compra!,dissabte a preu de compra !,precios,neutral,0.704
@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es aurora and smashing pumpkins ffs why would you do this to us,@cruillabcn @estrelladammcat @occidentseguros @vueling @vallformosa @johnniewalker @seetickets_es aurora and smashing pumpkins ffs why would you do this to us,pregunta,negative,0.478
"@renfe tren oficial del festival cruïlla del 5 al 8 de juliol, al parc del fòrum les estacions de rodalies de sant adrià del besòs i el clot són les més properes al recinte més informació a:","@renfe tren oficial del festival cruïlla del 5 al 8 de juliol , al parc del fòrum les estacions de rodalies de sant adrià del besòs i",transporte,neutral,0.79
"@renfe tren oficial del festival cruïlla del 5 al 8 de juliol, al parc del fòrum les estacions de rodalies de sant adrià del besòs i el clot són les més properes al recinte més informació a:",el clot són les més properes al recinte més informació a,unknown,neutral,0.54
"@renfe tren oficial del festival cruïlla del 5 al 8 de juliol, al parc del fòrum les estacions de rodalies de sant adrià del besòs i el clot són les més properes al recinte més informació a:",:,unknown,neutral,0.425
"@rodalies @renfe potser arribeu al cruïlla de 2035, potser...","@rodalies @renfe potser arribeu al cruïlla de 2035 , potser ...",transporte,neutral,0.514
"@rodalies @renfe amb totes arribaràs tard, cada dia aturades a rodalies","@rodalies @renfe amb totes arribaràs tard , cada dia aturades a rodalies",transporte,negative,0.526
@rodalies @renfe a la de sant adrià hi ha bus substitutori per el tall del tramvia?,@rodalies @renfe a la de sant adrià hi ha bus substitutori per el tall del tramvia ?,transporte,neutral,0.772
@rodalies @renfe millor recomeneu que vagin amb metro. si van amb rodalies ni arribaran pel festival de l'any que ve.,@rodalies @renfe millor recomeneu que vagin amb metro . si,transporte,neutral,0.385
@rodalies @renfe millor recomeneu que vagin amb metro. si van amb rodalies ni arribaran pel festival de l'any que ve.,van amb rodalies ni,transporte,negative,0.468
@rodalies @renfe millor recomeneu que vagin amb metro. si van amb rodalies ni arribaran pel festival de l'any que ve.,arribaran pel festival de l'any que ve .,unknown,neutral,0.691
"r2 sud, r14, r15, r16 i r17 els trens circulen amb demores que poden superar els 15 minuts. incidència a la infraestructura a l'estació de st. vicenç de calders. tècnics d'adif estan treballant en la seva reparació.","r2 sud , r14 , r15 , r16 i",unknown,neutral,0.697
"r2 sud, r14, r15, r16 i r17 els trens circulen amb demores que poden superar els 15 minuts. incidència a la infraestructura a l'estació de st. vicenç de calders. tècnics d'adif estan treballant en la seva reparació.",r17 els trens circulen amb demores que poden superar els 15 minuts . incidència a la infraestructura a l'estació de st . vicenç de calders . tècnics d'adif estan treballant en la seva reparació .,transporte,negative,0.686
"més música, més arts, més comedy. més cruïlla que mai. aconsegueix la teva entrada o abonament al preu actual i prepara’t per viure els millors quatre dies de l’estiu amb els teus grups, còmics i artistes preferits del 5 al 8 de juliol!","més música , més arts , més comedy . més cruïlla que",sonido,positive,0.421
"més música, més arts, més comedy. més cruïlla que mai. aconsegueix la teva entrada o abonament al preu actual i prepara’t per viure els millors quatre dies de l’estiu amb els teus grups, còmics i artistes preferits del 5 al 8 de juliol!",mai . aconsegueix la teva entrada o,unknown,neutral,0.577
"més música, més arts, més comedy. més cruïlla que mai. aconsegueix la teva entrada o abonament al preu actual i prepara’t per viure els millors quatre dies de l’estiu amb els teus grups, còmics i artistes preferits del 5 al 8 de juliol!",abonament al preu actual i,precios,neutral,0.911
"més música, més arts, més comedy. més cruïlla que mai. aconsegueix la teva entrada o abonament al preu actual i prepara’t per viure els millors quatre dies de l’estiu amb els teus grups, còmics i artistes preferits del 5 al 8 de juliol!","prepara’t per viure els millors quatre dies de l’estiu amb els teus grups , còmics i",organización,positive,0.69
"més música, més arts, més comedy. més cruïlla que mai. aconsegueix la teva entrada o abonament al preu actual i prepara’t per viure els millors quatre dies de l’estiu amb els teus grups, còmics i artistes preferits del 5 al 8 de juliol!",artistes preferits del 5 al 8 de juliol !,unknown,neutral,0.504
"@cruillabcn @estrelladammcat @seetickets @vallformosa @elestafador @dissenyhub_bcn @ametllerorigen @oxfamintermon @leiva_oficial @antonia_font @vivasuecia que es aquesta merda de la polsera cash less? ens demaneu dni num tarjeta credit fins al putu dia de naixament per fer una cosa q es pot fer amb targeta. ens feu perdre el temps i les ganes, lamentable",@cruillabcn @estrelladammcat @seetickets @vallformosa @elestafador @dissenyhub_bcn @ametllerorigen @oxfamintermon @leiva_oficial @antonia_font @vivasuecia que es aquesta merda de la polsera cash less ? ens demaneu dni num tarjeta credit fins al putu dia de naixament per fer una cosa q es pot fer amb targeta . ens feu perdre el temps i,unknown,negative,0.927
"@cruillabcn @estrelladammcat @seetickets @vallformosa @elestafador @dissenyhub_bcn @ametllerorigen @oxfamintermon @leiva_oficial @antonia_font @vivasuecia que es aquesta merda de la polsera cash less? ens demaneu dni num tarjeta credit fins al putu dia de naixament per fer una cosa q es pot fer amb targeta. ens feu perdre el temps i les ganes, lamentable","les ganes , lamentable",unknown,negative,0.96
@cruillabcn @estrelladammcat @seetickets @vallformosa @elestafador @dissenyhub_bcn @ametllerorigen @oxfamintermon @leiva_oficial @antonia_font @vivasuecia cuando vais a abrir las puertas?,@cruillabcn @estrelladammcat @seetickets @vallformosa @elestafador @dissenyhub_bcn @ametllerorigen @oxfamintermon @leiva_oficial @antonia_font @vivasuecia cuando,unknown,neutral,0.673
@cruillabcn @estrelladammcat @seetickets @vallformosa @elestafador @dissenyhub_bcn @ametllerorigen @oxfamintermon @leiva_oficial @antonia_font @vivasuecia cuando vais a abrir las puertas?,vais a,unknown,neutral,0.455
@cruillabcn @estrelladammcat @seetickets @vallformosa @elestafador @dissenyhub_bcn @ametllerorigen @oxfamintermon @leiva_oficial @antonia_font @vivasuecia cuando vais a abrir las puertas?,abrir las puertas ?,unknown,neutral,0.637
"ficció, podcasts, stand-up i tot el que hi ha entremig: descobreix els projectes que ens proposen els humoristes del cruïlla comedy 2023 quan baixen de l’escenari! ja tens la teva entrada o abonament per venir a riure amb ells el 7 i 8 de juliol?","ficció , podcasts , stand-up i",unknown,neutral,0.686
"ficció, podcasts, stand-up i tot el que hi ha entremig: descobreix els projectes que ens proposen els humoristes del cruïlla comedy 2023 quan baixen de l’escenari! ja tens la teva entrada o abonament per venir a riure amb ells el 7 i 8 de juliol?",tot el que hi ha entremig : descobreix els projectes que ens proposen els humoristes del cruïlla comedy 2023 quan baixen de l’escenari ! ja tens la teva entrada o,información,neutral,0.593
"ficció, podcasts, stand-up i tot el que hi ha entremig: descobreix els projectes que ens proposen els humoristes del cruïlla comedy 2023 quan baixen de l’escenari! ja tens la teva entrada o abonament per venir a riure amb ells el 7 i 8 de juliol?",abonament per,precios,neutral,0.63
"ficció, podcasts, stand-up i tot el que hi ha entremig: descobreix els projectes que ens proposen els humoristes del cruïlla comedy 2023 quan baixen de l’escenari! ja tens la teva entrada o abonament per venir a riure amb ells el 7 i 8 de juliol?",venir a riure amb ells el 7 i,sonido,positive,0.685
"ficció, podcasts, stand-up i tot el que hi ha entremig: descobreix els projectes que ens proposen els humoristes del cruïlla comedy 2023 quan baixen de l’escenari! ja tens la teva entrada o abonament per venir a riure amb ells el 7 i 8 de juliol?",8 de juliol ?,unknown,neutral,0.78
@cruillabcn @ignatiusfarray @zlonk @eldodoazul @abiraquelirene @anapolo___ @adriromeo @juegodelitronos @alexis_deiz @charliiepee @ana_i_logica molt guapo....quin aforament màxim té? l'any passat es va omplir del tot molt d'hora diria,@cruillabcn @ignatiusfarray @zlonk @eldodoazul @abiraquelirene @anapolo _ _ _ @adriromeo @juegodelitronos @alexis_deiz @charliiepee @ana_i_logica molt guapo .... quin aforament màxim té ? l'any passat es va omplir del tot molt d'hora diria,precios,neutral,0.378
@cruillabcn @ana_i_logica @ignatiusfarray @zlonk @eldodoazul @abiraquelirene @anapolo___ @adriromeo @juegodelitronos @alexis_deiz @charliiepee watch racist pedo supporters live! &lt;3333 did your sister successfully off herself by now? @juankiferrer,@cruillabcn @ana_i_logica @ignatiusfarray @zlonk @eldodoazul @abiraquelirene @anapolo _ _ _ @adriromeo @juegodelitronos @alexis_deiz @charliiepee watch racist pedo supporters live ! & lt;3333 did your sister successfully off herself by now ? @juankiferrer,unknown,neutral,0.377
"atenció: canvis als horaris dels concerts de @ciudadjara, @calavento, @carolinadurante i @amaiaromero a l’escenari @vueling! a més, l’escenari cruïlla enamora passa a dir-se @oxfamintermon, els nostres nous companys de viatge!","atenció : canvis als horaris dels concerts de @ciudadjara , @calavento , @carolinadurante i",unknown,neutral,0.68
"atenció: canvis als horaris dels concerts de @ciudadjara, @calavento, @carolinadurante i @amaiaromero a l’escenari @vueling! a més, l’escenari cruïlla enamora passa a dir-se @oxfamintermon, els nostres nous companys de viatge!","@amaiaromero a l’escenari @vueling ! a més , l’escenari cruïlla enamora passa a dir-se @oxfamintermon , els nostres nous companys de viatge !",unknown,positive,0.619
@cruillabcn @ciudadjara @calavento @carolinadurante @amaiaromero @vueling @oxfamintermon @estrelladammcat @vallformosa @offspring @placeboworld @sigurros @alt_j @franz_ferdinand porfa no hagais coincidir rusowsky con sen senra,@cruillabcn @ciudadjara @calavento @carolinadurante @amaiaromero @vueling @oxfamintermon @estrelladammcat @vallformosa @offspring @placeboworld @sigurros @alt_j @franz_ferdinand porfa no hagais coincidir rusowsky con sen senra,unknown,negative,0.59
"@cruillabcn @ciudadjara @calavento @carolinadurante @amaiaromero @vueling @oxfamintermon @estrelladammcat @vallformosa @offspring @placeboworld @sigurros @alt_j @franz_ferdinand posar a @delaossapicasso a les 17.15h un dimecres és un crim. canvieu ho, que el seu show es","@cruillabcn @ciudadjara @calavento @carolinadurante @amaiaromero @vueling @oxfamintermon @estrelladammcat @vallformosa @offspring @placeboworld @sigurros @alt_j @franz_ferdinand posar a @delaossapicasso a les 17.15h un dimecres és un crim . canvieu ho , que el seu show es",unknown,neutral,0.519
